,avg_tumor,avg_normal,logFC,pvalue,threshold
herv_560,0.0644268920081821,0,10,2.61320395442158e-25,Up
herv_5659,0.0131803584370167,0,10,4.62328788591567e-26,Up
herv_6265,0.0156200025045132,0,10,3.79665435762047e-23,Up
herv_6281,0.0224445709900997,0,10,3.65820189912882e-25,Up
herv_894,0.0211248796216109,0,10,3.49069167835784e-26,Up
herv_1138,0.0328359457884341,1.01735333333333e-07,18.3000956614055,9.18236901924586e-26,Up
herv_1096,0.0363449632051006,1.19989666666667e-06,14.8865576560939,4.30680424437559e-29,Up
herv_1719,0.020849179661481,7.5697e-06,11.4274668746916,1.95082639307833e-30,Up
herv_5233,0.0225776720753257,0.000306208466666667,6.20423875712505,6.25284993653595e-62,Up
herv_5268,0.0225776720753257,0.000306208466666667,6.20423875712505,6.25284993653595e-62,Up
herv_5256,0.0223189929979629,0.000306208466666667,6.18761395208993,6.12479001449803e-62,Up
herv_1735,0.0434320996497715,0.0005217376,6.37929348121018,3.40276532096045e-35,Up
herv_4821,0.0902103568522502,0.000542465766666667,7.37761716898518,2.48454331697129e-40,Up
herv_2223,0.0760034748528617,0.000542465766666667,7.1303894729455,1.74605633561606e-69,Up
herv_2612,0.066265078303348,0.000542465766666667,6.93257286366951,7.46614435049565e-29,Up
herv_4296,0.0282126155572393,0.000542465766666667,5.70066451598237,1.76656774506224e-21,Up
herv_5636,0.0625972434619118,0.000604975533333333,6.69307852016998,6.02621049260708e-27,Up
herv_4220,0.0847466178179868,0.000609027333333333,7.12050500397829,1.31336766351877e-23,Up
herv_5678,0.384251649841352,0.000621974066666667,9.2709813108651,2.07082118638507e-24,Up
herv_1274,0.0489921015178969,0.000636025766666667,6.2673201540425,3.49700435113297e-31,Up
herv_5616,0.0290105515252969,0.000636025766666667,5.51134869979613,3.40531218644081e-24,Up
herv_6087,0.0282539434476724,0.000636025766666667,5.47322321745535,2.68219409942965e-25,Up
herv_1474,0.0245551543869455,0.000636025766666667,5.27079686993654,1.95666226877025e-24,Up
herv_3473,0.0197151372759711,0.000636025766666667,4.95407473256803,1.16645570443043e-26,Up
herv_2236,0.0184510150162731,0.000636025766666667,4.85847115979149,3.69751492279522e-24,Up
herv_4527,0.0172350252354219,0.000636025766666667,4.76011438773279,3.02509275155889e-23,Up
herv_4899,0.0152042310699746,0.000636025766666667,4.57924383282606,1.75183878331529e-21,Up
herv_3737,0.0412846098680649,0.000715103966666667,5.85130725592194,4.1003073908446e-26,Up
herv_5996,0.0363345605283383,0.000715103966666667,5.66704564066775,2.33774325705998e-34,Up
herv_2199,0.0321817046257268,0.0007255514,5.47101911337621,4.72002749239964e-26,Up
herv_4864,0.0221955595707366,0.0007255514,4.93504944829809,3.33192394458419e-26,Up
herv_2325,0.047347120503451,0.000738959466666667,6.00163764618404,2.19385149617596e-22,Up
herv_3853,0.0327434118435838,0.000738959466666667,5.46956561539192,1.69826026028193e-37,Up
herv_6182,0.0222208457018912,0.000738959466666667,4.9102746830218,8.94730130516033e-24,Up
herv_3611,0.0184194858694622,0.000738959466666667,4.63959375083136,6.10432148813351e-21,Up
herv_3492,0.0259925856656234,0.000768527433333333,5.07985958652734,1.35064473698502e-33,Up
herv_5445,0.0215340996336941,0.000768527433333333,4.80838243458451,3.27289223476641e-25,Up
herv_2978,0.125384478203375,0.000817231033333333,7.26139905777156,1.62143280639277e-52,Up
herv_2565,0.107243572733174,0.000817231033333333,7.03593148245467,6.66363562627855e-34,Up
herv_1527,0.0880662802188782,0.000817231033333333,6.75170193011813,8.07427708289654e-25,Up
herv_862,0.0503791129785025,0.000817231033333333,5.94593792097699,9.54298722227423e-22,Up
herv_715,0.0379223314561548,0.000817231033333333,5.53615986363108,9.29231625480077e-34,Up
herv_2140,0.0216392257409158,0.000817231033333333,4.72676108006509,7.89529723709767e-23,Up
herv_4769,0.0934572955028103,0.000825009533333333,6.8237526880049,7.65086769964352e-34,Up
herv_3002,0.0387976507068912,0.0008567348,5.50097679510722,4.31594795536329e-29,Up
herv_5919,0.0332117415884816,0.000901495033333333,5.20323002465226,2.70265265435072e-27,Up
herv_5682,0.0306242650010418,0.000901495033333333,5.08621186549895,2.08646109266859e-26,Up
herv_3616,0.0295991498227225,0.000901495033333333,5.0370923843071,1.43677092621785e-22,Up
herv_6275,0.236192956981994,0.0009128384,8.01539074826998,3.36487586847686e-58,Up
herv_1693,0.0468168605854355,0.0009128384,5.68052490199722,3.66671493688108e-32,Up
herv_580,0.0413585259217658,0.0009128384,5.50168147442081,3.36682194584554e-30,Up
herv_3353,0.0258344831153463,0.0009128384,4.82279472687043,1.28422914654208e-26,Up
herv_2307,0.0211763619742035,0.0009128384,4.53595146820476,6.99627764719597e-24,Up
herv_4379,0.0186659557779424,0.0009128384,4.35390609038822,1.86629322310646e-21,Up
herv_2858,0.0592095807388912,0.000932230666666667,5.98899985533109,1.1514057482316e-36,Up
herv_3867,0.0508084995556112,0.000932230666666667,5.76823907722052,1.44425366946054e-41,Up
herv_4163,0.0275569575142181,0.000932230666666667,4.88558583016419,4.13490208555018e-28,Up
herv_4752,0.0963972486020681,0.0009803815,6.61950489849149,2.09343299332298e-42,Up
herv_1544,0.0608874456646143,0.0009803815,5.95665771988323,3.39034574016482e-65,Up
herv_2171,0.0472214564804702,0.0009803815,5.5899554694491,1.86471320001231e-22,Up
herv_6099,0.0336242303770854,0.00103787546666667,5.01779599420706,1.12517502386395e-33,Up
herv_2815,0.0387240486805836,0.00117849153333333,5.0382164983461,5.08443055331015e-41,Up
herv_1013,0.0402363168950447,0.00121874513333333,5.04502988840673,2.07717582775208e-27,Up
herv_1553,0.047969107613551,0.00123684156666667,5.27737298570857,6.65355030835057e-47,Up
herv_5705,0.369033668397768,0.0012770853,8.17475374504257,1.50368553383333e-36,Up
herv_5494,0.0354356268818964,0.00129026503333333,4.77946122640066,2.67267947043696e-31,Up
herv_4337,0.0825523418107624,0.0013109932,5.97657703393004,1.54655875297322e-26,Up
herv_2496,0.0331785330877606,0.00137498523333333,4.59276207227703,1.00145567487485e-35,Up
herv_1928,0.0606195145040519,0.0013784724,5.45864001088693,4.26102735314214e-21,Up
herv_1142,0.0293212712892417,0.0013784724,4.41080536922162,1.70420825639148e-26,Up
herv_4519,0.0784651164973321,0.00139055873333333,5.81831482620107,6.00603952578977e-38,Up
herv_2287,0.0403508719855988,0.00141203373333333,4.83675339063406,8.99802359056757e-32,Up
herv_1988,0.0592187111871701,0.00142323263333333,5.37880969181056,1.40426930533149e-27,Up
herv_5846,0.0542626917929842,0.001434576,5.24126431136378,4.72033770112587e-57,Up
herv_3158,0.0400896395214856,0.0014363921,4.80270791651979,1.3122647159456e-33,Up
herv_1523,0.0775718583487226,0.00147518973333333,5.71656093844565,3.89397942646492e-61,Up
herv_4221,0.121841481271458,0.00147678403333333,6.36640271611382,4.75725988714763e-24,Up
herv_3566,0.0303645008157303,0.0015074869,4.33216828153135,6.13960047427432e-22,Up
herv_1256,0.031614082493379,0.0015102992,4.38766105994246,3.9726700567932e-21,Up
herv_5442,0.081313539141349,0.00151781393333333,5.74342874002258,6.23713840027288e-34,Up
herv_3980,0.0284887138125251,0.0015249659,4.22354160157824,2.17158281623618e-21,Up
herv_2080,0.46734711221295,0.00153372133333333,8.251314290317,1.36636903849266e-26,Up
herv_3253,0.0551807141114698,0.0015375208,5.16548629432732,3.4256100069547e-33,Up
herv_1321,0.0472058162869829,0.0015516331,4.92710526426163,1.7592016987817e-21,Up
herv_4342,0.0370149557931083,0.00157611763333333,4.5536611862977,4.66918766929892e-23,Up
herv_5856,0.0421009228207421,0.00160708466666667,4.71133401424269,7.76853622431704e-31,Up
herv_1060,0.0347117757543251,0.0016208059,4.42064193515035,3.64425443567415e-24,Up
herv_6177,0.0445908459227624,0.00164733463333333,4.75854201538326,3.37075362265688e-30,Up
herv_5645,0.0503516845544126,0.00167002246666667,4.9141006291208,4.56263305371648e-21,Up
herv_2865,0.0330762508502468,0.00169548546666667,4.28602539312091,1.27316120455355e-24,Up
herv_5991,0.078824607428703,0.00170139766,5.53385379972276,3.08266956903732e-68,Up
herv_1426,0.0409881093834092,0.0017040755,4.58814428430134,2.21237616829559e-37,Up
herv_519,0.0301353959524964,0.0017074365,4.14155519022774,2.33407993188958e-24,Up
herv_971,0.0748417260591267,0.00171872606666667,5.4444313023498,5.38234267222313e-30,Up
herv_1489,0.0346602876065948,0.00171934096666667,4.33335604319984,8.38874412653409e-28,Up
herv_1157,0.0302567385316992,0.00171934096666667,4.1373289006882,6.59026234789832e-29,Up
herv_5940,0.238776539205689,0.0017228778,7.11469690456564,8.26270703485936e-23,Up
herv_806,0.0413455611085831,0.00173667293333333,4.57333446608308,1.11622715320831e-28,Up
herv_2159,0.0348304646728021,0.00176427713333333,4.30320061712715,2.24754640977953e-24,Up
herv_1724,0.0332481011197987,0.00177683493333333,4.22589037974238,1.14568613537223e-21,Up
herv_2926,0.0620060333441774,0.00180867166666667,5.09940615992388,2.11963958775615e-30,Up
herv_1662,0.0614650766926619,0.00181955106666667,5.07811248402612,1.09047157500682e-47,Up
herv_2434,0.14666253884682,0.001849154316542,6.30949098242923,8.6436609349139e-60,Up
herv_2724,0.0549312192138365,0.00188941139944067,4.86161754053345,2.2939905090761e-38,Up
herv_2365,0.992413027325525,0.00189524056666667,9.03241587909083,1.13109780049486e-26,Up
herv_4506,0.0683601052516829,0.00191311106666667,5.15916208063777,2.89123622094471e-55,Up
herv_691,0.108281052333062,0.00191528303333333,5.82107939942964,1.11532264863224e-31,Up
herv_5771,0.0570384313273625,0.00192446563488667,4.88940449094723,3.13353276191824e-56,Up
herv_1049,0.0369100778025114,0.00216116603333333,4.09413296084972,9.46055087361017e-32,Up
herv_1109,0.0517560960009151,0.0021765877,4.57158874182929,1.63017403556933e-36,Up
herv_3565,0.0364221625068629,0.00217858033333333,4.06335636501406,1.10394596755477e-25,Up
herv_3965,0.0569501043733056,0.00220559373333333,4.69045950747796,1.79994258633049e-48,Up
herv_2082,0.0707604354295291,0.0022136559,4.99844003972102,7.02843692908542e-43,Up
herv_3827,0.0812082059268501,0.0022226910613,5.19124617345639,2.30867184011127e-39,Up
herv_1505,0.0865507056690805,0.00222977343333333,5.27857655142744,1.07655699154533e-26,Up
herv_5371,0.0550658517123253,0.0022968692,4.58341732283179,7.02675380494142e-39,Up
herv_6070,0.0864961679276144,0.00234219693333333,5.20670192917968,2.89215772987415e-48,Up
herv_4784,0.17867307110355,0.00234606273333333,6.25093681195361,4.65074357214158e-24,Up
herv_1424,0.0582027982931091,0.002350861127,4.62982729522325,2.22049419536234e-49,Up
herv_655,0.0539258037651002,0.00236914563333333,4.50853698487319,2.15696360305578e-43,Up
herv_2856,0.159651675888763,0.00237282076666667,6.07218075769014,3.21016396255464e-30,Up
herv_3592,0.0456221711330137,0.00237409166333333,4.26428756190188,2.63160678009285e-31,Up
herv_4473,0.0752603616549557,0.00237734926666667,4.98446444559206,3.46146189847086e-57,Up
herv_585,0.0404937371494066,0.0023849347,4.08567712425836,3.04054616033537e-25,Up
herv_4885,0.0729442026909523,0.00244632333333333,4.89810631893284,1.52798732188141e-35,Up
herv_4249,0.0463006786306895,0.0024775407,4.22405267656448,6.82635804632424e-31,Up
herv_4194,0.0733174082764546,0.002543622,4.84919959132985,1.02696808883569e-32,Up
herv_2852,0.113277220195319,0.00254622363333333,5.47535482137327,1.0197394399252e-29,Up
herv_1975,0.0518437394486328,0.0025848688,4.32600682170502,1.33325991859759e-32,Up
herv_4409,0.164349994850053,0.00261102016666667,5.97601400038684,8.02546712111245e-22,Up
herv_2346,0.175621538335169,0.0026275666,6.06259864638838,1.3722812319678e-33,Up
herv_3822,0.0452477526035526,0.00264056473333333,4.09892772264362,4.61315563213317e-28,Up
herv_3891,0.0639748973629572,0.00267302753333333,4.5809593245536,2.46781141111718e-34,Up
herv_3038,0.0510901828669589,0.00270540083333333,4.2391318342722,3.02124943601368e-26,Up
herv_4215,0.0893305912473118,0.0027792044,5.00641046232446,3.5165999673256e-49,Up
herv_2822,0.0810056798668661,0.00281746376666667,4.84555410665509,4.51486208356576e-22,Up
herv_5675,0.073069930024996,0.0028402385,4.68519384009537,2.33544520153602e-46,Up
herv_1300,0.0705861317831679,0.0028724573,4.61902740976425,2.92817256760257e-24,Up
herv_5459,0.0731988383086596,0.00287277546666667,4.67130360986291,6.15671590765988e-47,Up
herv_5427,0.0540449946068577,0.00293291113333333,4.20375574504357,8.38509220617217e-27,Up
herv_3509,0.100518040152049,0.00294071473333333,5.09514379638213,3.8857338290606e-30,Up
herv_5634,0.0685017583542518,0.00298495903333333,4.52035798405579,1.78328080861328e-54,Up
herv_5855,0.116341348789944,0.00301153703333333,5.2717201247955,5.51261515527046e-43,Up
herv_2371,0.054995722450412,0.00303797426666667,4.17813785607092,2.07724300569344e-24,Up
herv_2277,0.0492134068745163,0.00305026933333333,4.01204285192225,2.28202150449661e-36,Up
herv_6196,1.12652514463121,0.00318658843333333,8.46565110171867,3.4248814201794e-24,Up
herv_5934,0.100784886569081,0.0032198956,4.96812159015499,1.57685636832921e-21,Up
herv_2240,0.0585931770177096,0.00322095643333333,4.18517162527921,3.72997978126082e-33,Up
herv_5937,0.317740317219462,0.00325234746666667,6.61022295424396,3.47629708644176e-38,Up
herv_748,0.111089522105512,0.00328538766666667,5.07951532420102,6.09735767175231e-53,Up
herv_2294,0.162990788246736,0.00332022263333333,5.61736663680525,1.11924445290294e-55,Up
herv_1008,0.0548324889427587,0.0033207477,4.04545094090651,6.6251301417821e-35,Up
herv_2169,0.0564829844193682,0.0033360227,4.08161530825252,8.94148847273088e-44,Up
herv_3110,0.134311259388103,0.0033886891,5.30870916071499,2.69860063101833e-47,Up
herv_4259,0.126867505744334,0.00345918603333333,5.19674618917791,9.90709256898359e-36,Up
herv_4153,0.0665062180467494,0.00350841383333333,4.24459839737201,9.50015307525339e-36,Up
herv_2582,0.1008770568809,0.00352876373333333,4.83729144169331,1.08203554676511e-64,Up
herv_2953,0.0687039352397811,0.00354305546666667,4.27732678023713,6.58317812111701e-24,Up
herv_2019,0.0685420731499374,0.00355957636666667,4.26721237074613,1.69753318330061e-21,Up
herv_1653,0.0719808071165453,0.00360886846666667,4.31799381216942,4.81340744491876e-26,Up
herv_5730,0.139504439064804,0.00361765716666667,5.26911152443483,1.74200607292511e-35,Up
herv_3793,0.10363032727799,0.00369096,4.81130635461702,3.81053330211232e-69,Up
herv_1452,0.244326313823569,0.00369748703333333,6.04612035132661,7.83033727329399e-31,Up
herv_4605,0.118669197070857,0.00377290673333333,4.97512525640391,7.0729528085023e-35,Up
herv_3636,0.102278181994342,0.00381311172023883,4.74538581047639,1.55152065393771e-60,Up
herv_1722,0.0802586696585864,0.00387524116666667,4.37229924159496,6.03419470632083e-21,Up
herv_3503,0.1660155746765,0.0038895021,5.4155892976376,2.16174585680301e-35,Up
herv_1478,0.0632583508788594,0.00393621796666667,4.00637392910935,1.46515790423512e-29,Up
herv_4310,0.0773617223234215,0.00393626246666667,4.29672158756613,6.43722696988574e-25,Up
herv_3836,0.136305931278628,0.00394040366666667,5.11236110015394,7.26579374338806e-22,Up
herv_1211,0.0658947669604996,0.00395902383333333,4.05694724047714,3.91233163208313e-44,Up
herv_1094,0.218957222972244,0.0039910802,5.77772596222541,1.40724734873071e-27,Up
herv_2688,0.13794518512327,0.0040323264,5.09633886741028,1.12730295218865e-62,Up
herv_4474,0.0894168065792864,0.00404021496666667,4.46804206133766,2.6853480294711e-40,Up
herv_3838,0.0959399964894583,0.00408930103333333,4.55220621106645,6.20254753172794e-45,Up
herv_5840,0.159972129810258,0.00429273713333333,5.21977894009019,4.27666835613039e-24,Up
herv_5331,0.0777256756167395,0.00432922023333333,4.16621215260063,1.5280997162548e-26,Up
herv_2410,0.0960768990656895,0.00437719256666667,4.45611182878221,6.14458316939993e-29,Up
herv_4646,0.0859501882463145,0.00442226026666667,4.28064495866706,3.29503511021926e-43,Up
herv_2648,0.297254241207908,0.0044420927,6.06431408404789,1.58996124024315e-51,Up
herv_2029,0.111266448449478,0.00444738336666667,4.64491804324226,2.72248985022504e-56,Up
herv_3100,0.0877112602883403,0.00447452283333333,4.29295632083165,1.48174925836685e-27,Up
herv_2387,0.132951980332409,0.00448138123333333,4.89081799371366,3.99556348150581e-29,Up
herv_5913,0.12144796867324,0.00451285366666667,4.75015455094878,1.85857896098729e-55,Up
herv_3595,0.0886192506812125,0.00455190126666667,4.28307895796981,1.46453471771789e-44,Up
herv_3449,0.153129580859194,0.00461405773333333,5.05257313680702,7.38452671931542e-32,Up
herv_3005,0.094643100066579,0.00468520463333333,4.33631336417197,7.65631924802537e-36,Up
herv_5049,0.195523502219137,0.00468824872333333,5.3821491114703,5.0241110813616e-67,Up
herv_6164,0.0878674570379768,0.00478643383333333,4.19830587059804,9.36396514868153e-25,Up
herv_3539,0.115332508582139,0.00478692356666667,4.59055663956311,5.16818379251333e-31,Up
herv_5580,0.163979674909962,0.0048255844,5.08666952549978,3.33758201637953e-21,Up
herv_2445,0.144744870600105,0.00493134793333333,4.87538636696706,1.22814994067067e-69,Up
herv_4062,0.0875214782511549,0.0049868704,4.13343049018269,9.71271085784436e-39,Up
herv_4332,0.449635181886833,0.00498972301833533,6.49365138084288,3.18541059578721e-46,Up
herv_3195,0.0998175795876686,0.0050456647,4.30617767820698,3.84734305039489e-21,Up
herv_6143,0.0835497496117233,0.0050800321,4.03972598639059,5.82172852519808e-47,Up
herv_3689,0.0879657542321406,0.00513789226666667,4.09769343571895,6.38622056321162e-28,Up
herv_5945,0.112308970150216,0.00523728810353333,4.42250938087789,1.42108604756521e-26,Up
herv_6022,0.0875164534875146,0.00535812543333333,4.02975401553566,8.04215512822983e-43,Up
herv_3971,0.111735256330552,0.00539462686666667,4.37241749209145,3.24369665488191e-31,Up
herv_5137,0.156916502291153,0.00556864473333333,4.81652701765967,8.67655867256783e-24,Up
herv_3584,0.15201274001234,0.0056601101,4.74721831260092,1.19801782480238e-64,Up
herv_1160,0.111195717280006,0.0056763956,4.29198227591975,1.55477973879851e-27,Up
herv_5305,0.898818508663817,0.0057038163,7.29995850452266,1.54459194194818e-24,Up
herv_3743,0.11788321346593,0.00572567703333333,4.36376818844352,7.63130883250548e-41,Up
herv_5446,0.135328184177257,0.00583533776666667,4.53550235800928,2.94929841192278e-45,Up
herv_2577,0.0974571493867545,0.00598043823333333,4.0264449135188,3.62987676221387e-39,Up
herv_4017,0.146485031852363,0.00627048733333333,4.54603187276401,2.81676285495779e-24,Up
herv_869,0.237523380067471,0.0064221872,5.20886099985604,1.6422733748058e-76,Up
herv_472,0.123318610149839,0.00654830083333333,4.23512612296016,2.25717866934421e-46,Up
herv_4094,0.106684413888335,0.0066543534,4.00290712306016,7.3418845249679e-51,Up
herv_546,0.77665141753494,0.00668487136666667,6.86022361296752,7.57958699321495e-33,Up
herv_4648,0.143037073257405,0.00672975,4.40969240021213,3.96304971425526e-36,Up
herv_2895,0.111251629833555,0.0067401896,4.04489348679312,2.57106217669884e-52,Up
herv_6068,0.201719827213529,0.00680606513333333,4.88938812660868,6.80380271442273e-21,Up
herv_915,0.893708222781062,0.00681606636666667,7.03472070514948,2.05771295972336e-47,Up
herv_4070,0.168514229258778,0.00694850453333333,4.60002409434544,9.59761701374384e-31,Up
herv_3064,0.421702395047061,0.00717445043333333,5.87721308033773,3.38112820149294e-34,Up
herv_2432,0.241056017105317,0.00736635473333333,5.03227375853675,1.26735236375839e-30,Up
herv_3937,0.351523238709027,0.00746261676666667,5.5577946565442,2.25245180370497e-25,Up
herv_2643,0.202682543589472,0.007584253739597,4.74007079713821,1.41094494887052e-67,Up
herv_3505,0.226929849760505,0.00780006586666667,4.86261627292781,2.4559638249704e-55,Up
herv_4621,0.139655255276482,0.00793472773333333,4.13754533325017,3.77513451155773e-50,Up
herv_5664,0.13038227329386,0.0080209689,4.02282740578404,1.43036453251696e-31,Up
herv_3275,0.181999851605491,0.0083396186,4.44781205821455,2.41525264027966e-59,Up
herv_6203,0.137649132419329,0.00840904623333333,4.03290952953977,1.67754512590015e-30,Up
herv_6016,0.15401172659763,0.0084141346,4.19408149610596,3.82130714861163e-59,Up
herv_765,0.15900157054208,0.00852832966666667,4.22063399836934,1.89533721959467e-27,Up
herv_2794,0.185592028751706,0.00863311286666667,4.4261100873029,5.09453312306874e-58,Up
herv_584,0.196855884766667,0.008679637,4.503361323023,1.80588535948254e-32,Up
herv_4485,0.390804367935444,0.0089428042,5.44957549283655,2.10280154872257e-52,Up
herv_3387,0.175241118171449,0.00932351056666667,4.2323242422158,1.11664498003178e-59,Up
herv_704,0.333688684279611,0.0093777095,5.15312336552114,5.34100414519415e-25,Up
herv_3598,0.199928978981995,0.0096731473,4.36935842241773,1.67938215884816e-41,Up
herv_2262,0.171739487968425,0.00979748043333333,4.13166719874739,1.40247667102379e-21,Up
herv_1647,0.248205610918247,0.00995333253333333,4.64021227539038,2.96959697017414e-41,Up
herv_3297,0.294316315592495,0.0100164098333333,4.87693011782735,1.74311992428666e-39,Up
herv_2534,0.194356262154383,0.0101199275333333,4.26343272768072,1.23384276300915e-55,Up
herv_4353,0.187600947390382,0.0104806732666667,4.1618638114525,3.78298182433083e-57,Up
herv_4336,0.272367965091993,0.0105735261233333,4.68702854817068,4.67330800398835e-54,Up
herv_6118,1.25310877084791,0.01057447665142,6.88878157324268,9.36465788576821e-25,Up
herv_1113,0.371825388340937,0.0107604669,5.11081269788818,8.87929396450204e-21,Up
herv_3512,0.266896478057939,0.0108133665333333,4.62539261450793,9.29845012155184e-83,Up
herv_6279,0.267758543564014,0.0110485692,4.59900115234162,2.41263469445579e-78,Up
herv_5430,0.21607575726766,0.0112895288666667,4.25848003125941,4.96890222844089e-74,Up
herv_4417,0.706261286566642,0.0115074167,5.93956611359324,9.72332006896366e-21,Up
herv_4054,0.239217856399115,0.0116430752333333,4.36078101714708,3.62591162643057e-53,Up
herv_4421,0.37396994235614,0.0117383138333333,4.99362522841542,8.34560242805522e-45,Up
herv_1950,0.240817578113263,0.0117932543,4.35190691914522,1.49760104825642e-70,Up
herv_740,0.255555441421385,0.011901148,4.42446366071743,5.03441486583128e-68,Up
herv_5292,0.876725687132997,0.0119204869,6.20061044809127,8.77646960030425e-26,Up
herv_3577,0.31517117314756,0.0123427532333333,4.67439943607688,7.11493958830306e-76,Up
herv_5977,0.244777381907452,0.0123804697333333,4.30533229657602,5.8849341166255e-73,Up
herv_3032,0.224208661421784,0.0124470526666667,4.17096593950029,5.38800543022223e-72,Up
herv_3367,0.282837609893404,0.0124699958666667,4.50344108096204,6.43747822664799e-34,Up
herv_4890,0.219417427899311,0.0129423502666667,4.08350658824868,7.62406576682481e-34,Up
herv_4270,0.392043948948199,0.013407761,4.86987514980748,1.97736680092377e-71,Up
herv_1407,0.263917645408087,0.0140858046333333,4.2277739285285,1.76988407566102e-55,Up
herv_1982,0.347795357712941,0.0149402946,4.54095817475055,2.35617501168684e-44,Up
herv_1570,0.396965809257973,0.0152691348,4.70032453145547,8.79274353363535e-65,Up
herv_1442,0.358455004260975,0.0157410596,4.50918746990287,5.12211314150548e-88,Up
herv_6092,0.267258819044508,0.0158929148333333,4.07178190404642,9.86612500651216e-62,Up
herv_3182,0.319886848753981,0.0160317025,4.31856213439095,1.63558955649888e-52,Up
herv_3113,0.340692062795565,0.0163173588666667,4.38398887072823,7.82606493374392e-31,Up
herv_3895,0.271162553456317,0.0164329786,4.0444920530462,1.09910810672083e-41,Up
herv_790,0.304539855184721,0.0167947364666667,4.18054998331956,4.02984978126769e-79,Up
herv_4235,0.325495822828809,0.0173031323333333,4.23353389573029,2.11668215615626e-58,Up
herv_3687,0.432883677373422,0.0176859154333333,4.61330660144424,1.29284075487248e-57,Up
herv_3066,0.856383490695981,0.0182203442333333,5.55463486275234,9.76014006544346e-49,Up
herv_6181,0.412431200425449,0.0213958368,4.26875146715684,4.78433726465745e-88,Up
herv_4419,0.432826592909604,0.0230604608666667,4.23029589035613,2.46367856046086e-31,Up
herv_4489,0.42014300153863,0.0232093646333333,4.17810151896577,1.48306451950902e-57,Up
herv_1475,0.922896673689395,0.0250292124666667,5.20448433157471,3.18678475037673e-39,Up
herv_557,0.663847510225785,0.0255547489333333,4.69918856134681,2.40330366596221e-40,Up
herv_3194,0.692320981895525,0.0267801585,4.69220466752102,1.01846512201084e-57,Up
herv_4772,0.531217132933904,0.0269470257333333,4.30110372754127,7.60448161266562e-78,Up
herv_1074,0.568749674049703,0.0347764627666667,4.03161070963331,5.66992098729015e-71,Up
herv_2328,0.620940266849994,0.0371387949666667,4.063455580512,2.12950814660269e-31,Up
